2,6
6,9
5,6
7,10
2,3
9,11
14,20
2,6
4,13
5,6
7,9
3,4
4,6
12,13
3,4
11,12
5,9
5,8
1,7
2,3
1,4
13,14
2,5
4,5
7,17
9,14
1,2
1,4
5,9
6,10
8,9
10,11
2,4
14,16
1,2
4,16
6,12
15,16
12,13
5,7
5,8
3,4
6,7
4,6
12,14
4,6
5,7
1,3
5,7
12,15
4,6
9,12
3,16
2,7
6,16
13,15
7,9
14,18
11,18
3,14
7,10
10,13
1,4
8,9
2,7
3,4
6,12
14,15
10,11
12,14
1,11
11,12
2,6
7,17
9,10
1,2
3,8
1,2
8,9
1,3
4,13
1,4
4,8
2,3
1,4
14,16
6,9
4,5
3,10
12,15
1,9
1,9
9,10
13,14
3,6
1,3
10,15
3,4
5,7
14,18
1,14
16,18
3,7
2,5
7,9
4,5
10,11
3,5
4,7
13,14
4,6
15,16
5,12
17,19
12,13
8,10
9,14
4,11
5,7
2,6
2,3
4,9
1,4
6,8
3,6
11,17
4,8
12,14
2,4
1,14
5,15
1,4
1,9
8,12
2,3
5,8
9,10
3,5
2,5
1,4
8,9
3,6
3,5
10,11
15,17
7,8
6,11
5,6
8,10
6,10
3,6
1,7
5,6
12,13
1,13
3,13
9,10
17,18
11,17
7,11
3,8
4,5
5,7
13,14
9,12
8,9
6,10
1,7
4,7
4,13
6,9
2,10
3,19
5,15
6,8
8,12
2,8
6,8
13,16
14,15
2,9
5,12
6,11
12,13
1,3
4,7
8,12
6,15
3,6
6,7
5,7
3,5
2,3
4,5
4,9
14,15
1,4
2,4
5,11
1,2
14,16
1,3
4,5
7,10
9,14
12,13
3,5
6,7
2,3
4,5
3,5
2,4
3,4
8,10
1,7
11,16
6,13
1,4
4,10
11,13
6,16
10,12
2,9
3,4
8,14
8,10
4,7
3,4
3,12
1,2
10,19
3,5
2,3
3,7
1,3
4,5
3,4
1,9
5,6
5,8
7,10
1,3
1,3
15,16
2,4
3,13
10,13
6,7
2,8
12,14
4,8
2,7
3,4
5,7
6,10
6,11
9,10
1,8
1,3
3,6
1,11
8,11
4,6
2,17
5,6
1,4
2,4
7,13
10,15
10,13
8,9
2,4
9,11
4,5
2,5
8,11
9,11
3,11
13,15
13,16
7,10
1,12
9,10
1,5
6,9
6,7
8,9
1,2
12,15
5,6
10,18
3,5
1,10
4,7
3,9
10,16
10,14
2,17
7,11
1,4
2,7
3,4
6,7
2,9
12,13
16,17
6,8
2,4
4,6
6,7
3,5
8,10
3,5
4,5
2,5
4,5
13,14
4,9
10,11
12,14
4,10
2,7
3,5
2,4
4,13
6,8
8,9
10,11
1,3
14,16
5,10
1,4
2,3
4,8
1,4
5,6
2,4
1,7
15,18
1,2
2,3
3,19
2,9
1,14
1,2
3,4
2,3
5,6
8,13
5,6
4,5
1,2
8,9
2,4
11,15
2,3
2,3
8,15
6,7
13,14
2,4
5,11
3,5
12,15
1,6
14,15
4,8
7,13
8,11
13,17
9,10
3,4
1,2
12,17
1,5
5,12
18,19
1,5
3,4
5,9
6,7
6,10
9,11
8,9
5,11
11,13
10,13
3,4
5,11
6,7
3,4
13,14
12,13
3,4
2,3
3,5
3,7
4,5
16,17
4,7
1,5
4,5
5,9
4,5
15,16
5,8
5,7
3,10
3,4
2,3
5,15
8,11
5,10
7,10
14,17
1,5
4,17
6,8
3,5
3,8
17,18
1,3
13,14
9,12
3,8
3,6
10,16
4,5
4,5
1,7
6,7
11,12
13,14
9,10
9,13
1,7
7,16
4,5
8,9
10,15
3,6
10,11
3,4
1,6
9,12
8,10
4,14
12,13
2,6
3,4
5,13
1,3
5,7
7,8
4,14
4,9
1,6
1,12
4,6
9,15
1,7
2,17
9,10
1,4
11,12
9,10
5,6
7,8
7,8
2,5
4,6
9,12
10,13
5,14
1,2
8,11
5,6
6,11
2,5
12,16
14,16
1,16
6,8
1,8
7,8
3,4
8,9
4,5
7,8
16,18
3,4
5,7
7,9
1,5
12,16
10,12
4,7
9,11
3,6
8,19
2,6
1,4
2,11
1,5
2,3
5,6
3,13
10,11
9,10
2,7
6,19
1,11
3,4
8,9
4,5
1,4
5,6
10,11
11,12
14,16
13,14
10,11
16,18
8,12
14,16
9,10
14,15
8,11
6,9
5,7
5,6
6,7
11,12
12,15
2,3
7,9
15,17
2,7
4,5
11,12
4,17
1,3
14,18
2,8
1,10
13,15
1,14
6,10
5,6
4,10
9,10
2,11
12,14
3,13
3,9
12,15
14,19
4,5
3,4
13,14
11,15
16,17
1,4
5,10
2,14
18,19
5,6
3,8
11,12
2,4
6,11
5,10
2,17
3,4
5,6
7,10
10,11
1,3
13,14
12,15
1,13
1,5
4,7
11,12
9,11
3,10
10,12
4,5
5,9
7,9
11,17
7,13
2,8
5,6
2,6
12,13
1,6
2,4
5,12
3,4
12,15
3,11
9,10
2,6
3,4
12,19
2,9
1,4
7,12
4,5
1,3
5,9
1,7
4,10
7,13
9,10
7,14
5,13
11,15
5,9
2,7
6,9
4,7
1,4
3,4
1,13
6,7
15,19
14,15
11,13
9,10
5,7
5,7
1,3
4,7
4,10
1,15
5,7
11,12
3,4
4,6
1,2
4,18
5,7
6,7
8,9
8,9
6,11
3,5
6,9
3,7
6,9
3,5
2,6
2,6
7,8
10,11
3,4
9,11
6,7
4,6
7,9
3,5
3,11
7,17
2,19
1,2
4,6
10,13
9,19
9,10
5,9
15,17
3,4
1,5
2,11
1,4
3,4
11,13
2,4
6,7
1,4
5,6
2,4
10,14
3,7
6,7
1,13
1,3
11,14
11,12
2,12
1,3
1,7
15,16
12,13
4,5
3,8
1,3
14,15
2,5
2,4
8,11
7,11
5,6
5,6
11,15
3,16
4,5
6,10
12,15
8,12
1,2
9,11
18,19
8,14
4,5
3,6
4,5
2,4
5,7
3,5
7,10
7,14
10,11
5,6
8,15
18,19
10,12
5,6
4,12
12,17
4,5
3,6
16,19
5,8
6,9
1,10
10,11
1,4
2,4
3,5
2,5
1,2
2,4
11,16
2,13
4,7
4,5
2,5
6,7
1,8
10,14
3,5
5,8
10,11
5,6
3,4
3,7
1,2
9,10
1,6
2,6
4,8
13,14
10,13
1,3
3,4
2,3
2,6
19,20
12,15
3,4
11,19
1,5
3,4
3,8
9,12
15,16
2,3
10,18
3,12
2,9
9,10
2,9
7,13
7,13
5,7
4,5
1,3
4,6
2,7
5,7
4,5
3,14
7,8
8,9
7,9
10,11
3,6
1,2
6,7
2,4
5,7
2,3
6,13
1,3
10,13
6,8
7,10
2,10
3,4
1,6
5,9
13,16
5,7
14,15
11,13
2,11
10,11
1,11
9,10
5,10
2,16
6,10
10,17
5,7
1,13
2,4
9,11
14,17
5,12
10,13
5,16
2,3
7,9
6,9
10,12
1,6
1,3
2,7
1,6
1,3
8,9
5,6
12,14
9,10
2,11
4,9
3,4
3,4
15,18
4,5
10,16
13,14
6,7
12,19
10,15
4,10
11,12
3,5
1,6
7,14
7,8
3,4
3,4
2,7
5,12
1,5
6,7
8,12
1,3
5,7
2,6
16,20
3,6
4,9
2,4
6,8
11,12
4,6
16,19
2,3
13,16
16,17
1,9
3,4
1,2
1,4
2,3
17,20
3,7
3,8
3,4
9,11
9,10
6,10
1,3
1,9
4,5
2,6
6,7
2,8
11,13
7,10
6,17
2,3
8,13
3,4
9,12
3,11
1,3
10,18
3,6
2,3
3,7
12,13
12,13
12,16
3,4
6,13
6,18
7,8
6,7
4,5
4,9
14,17
3,5
2,4
4,7
17,18
1,3
1,2
10,11
4,5
5,7
10,15
9,11
1,8
2,3
7,8
9,16
2,5
2,3
3,10
5,8
5,15
8,9
3,14
11,12
9,13
3,5
3,5
7,8
3,7
11,12
11,12
8,11
9,13
3,6
3,5
3,7
13,15
5,8
1,4
2,4
2,3
19,20
3,9
14,17
17,19
4,13
10,18
5,11
6,11
7,9
2,4
1,6
3,5
3,16
4,5
3,18
2,4
6,12
3,4
5,14
2,12
2,8
7,9
4,5
8,14
13,14
1,6
4,6
10,14
1,2
2,4
16,17
2,3
5,6
